ダウンロードした時刻：2018/07/25 16:01:48

,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1872/8/10,,0,1,,0,1,,0,1
1872/8/11,,0,1,,0,1,,0,1
1872/8/12,,0,1,,0,1,,0,1
1872/8/13,,0,1,,0,1,,0,1
1872/8/14,,0,1,,0,1,,0,1
1872/8/15,,0,1,,0,1,,0,1
1872/8/16,,0,1,,0,1,,0,1
1872/8/17,,0,1,,0,1,,0,1
1872/8/18,,0,1,,0,1,,0,1
1872/8/19,,0,1,,0,1,,0,1
1872/8/20,,0,1,,0,1,,0,1
1872/8/21,,0,1,,0,1,,0,1
1872/8/22,,0,1,,0,1,,0,1
1872/8/23,,0,1,,0,1,,0,1
1872/8/24,,0,1,,0,1,,0,1
1872/8/25,,0,1,,0,1,,0,1
1872/8/26,,0,1,,0,1,,0,1
1872/8/27,,0,1,,0,1,,0,1
1872/8/28,,0,1,,0,1,,0,1
1872/8/29,,0,1,,0,1,,0,1
1872/8/30,,0,1,,0,1,,0,1
1872/8/31,,0,1,,0,1,,0,1
1872/9/1,,0,1,,0,1,,0,1
1872/9/2,,0,1,,0,1,,0,1
1872/9/3,,0,1,,0,1,,0,1
1872/9/4,,0,1,,0,1,,0,1
1872/9/5,,0,1,,0,1,,0,1
1872/9/6,,0,1,,0,1,,0,1
1872/9/7,,0,1,,0,1,,0,1
1872/9/8,,0,1,,0,1,,0,1
1872/9/9,,0,1,,0,1,,0,1
1872/9/10,,0,1,,0,1,,0,1
1872/9/11,,0,1,,0,1,,0,1
1872/9/12,,0,1,,0,1,,0,1
1872/9/13,,0,1,,0,1,,0,1
1872/9/14,,0,1,,0,1,,0,1
1872/9/15,,0,1,,0,1,,0,1
1872/9/16,,0,1,,0,1,,0,1
1872/9/17,,0,1,,0,1,,0,1
1872/9/18,,0,1,,0,1,,0,1
1872/9/19,,0,1,,0,1,,0,1
1872/9/20,,0,1,,0,1,,0,1
1872/9/21,,0,1,,0,1,,0,1
1872/9/22,,0,1,,0,1,,0,1
1872/9/23,,0,1,,0,1,,0,1
1872/9/24,,0,1,,0,1,,0,1
1872/9/25,,0,1,,0,1,,0,1
1872/9/26,,0,1,,0,1,,0,1
1872/9/27,,0,1,,0,1,,0,1
1872/9/28,,0,1,,0,1,,0,1
1872/9/29,,0,1,,0,1,,0,1
1872/9/30,,0,1,,0,1,,0,1
1872/10/1,,0,1,,0,1,,0,1
1872/10/2,,0,1,,0,1,,0,1
1872/10/3,,0,1,,0,1,,0,1
1872/10/4,,0,1,,0,1,,0,1
1872/10/5,,0,1,,0,1,,0,1
1872/10/6,,0,1,,0,1,,0,1
1872/10/7,,0,1,,0,1,,0,1
1872/10/8,,0,1,,0,1,,0,1
1872/10/9,,0,1,,0,1,,0,1
1872/10/10,,0,1,,0,1,,0,1
1872/10/11,,0,1,,0,1,,0,1
1872/10/12,,0,1,,0,1,,0,1
1872/10/13,,0,1,,0,1,,0,1
1872/10/14,,0,1,,0,1,,0,1
1872/10/15,,0,1,,0,1,,0,1
1872/10/16,,0,1,,0,1,,0,1
1872/10/17,,0,1,,0,1,,0,1
1872/10/18,,0,1,,0,1,,0,1
1872/10/19,,0,1,,0,1,,0,1
1872/10/20,,0,1,,0,1,,0,1
1872/10/21,,0,1,,0,1,,0,1
1872/10/22,,0,1,,0,1,,0,1
1872/10/23,,0,1,,0,1,,0,1
1872/10/24,,0,1,,0,1,,0,1
1872/10/25,,0,1,,0,1,,0,1
1872/10/26,,0,1,,0,1,,0,1
1872/10/27,,0,1,,0,1,,0,1
1872/10/28,,0,1,,0,1,,0,1
1872/10/29,,0,1,,0,1,,0,1
1872/10/30,,0,1,,0,1,,0,1
1872/10/31,,0,1,,0,1,,0,1
1872/11/1,,0,1,,0,1,,0,1
1872/11/2,,0,1,,0,1,,0,1
1872/11/3,,0,1,,0,1,,0,1
1872/11/4,,0,1,,0,1,,0,1
1872/11/5,,0,1,,0,1,,0,1
1872/11/6,,0,1,,0,1,,0,1
1872/11/7,,0,1,,0,1,,0,1
1872/11/8,,0,1,,0,1,,0,1
1872/11/9,,0,1,,0,1,,0,1
1872/11/10,,0,1,,0,1,,0,1
1872/11/11,,0,1,,0,1,,0,1
1872/11/12,,0,1,,0,1,,0,1
1872/11/13,,0,1,,0,1,,0,1
1872/11/14,,0,1,,0,1,,0,1
1872/11/15,,0,1,,0,1,,0,1
1872/11/16,,0,1,,0,1,,0,1
1872/11/17,,0,1,,0,1,,0,1
1872/11/18,,0,1,,0,1,,0,1
1872/11/19,,0,1,,0,1,,0,1
1872/11/20,,0,1,,0,1,,0,1
1872/11/21,,0,1,,0,1,,0,1
1872/11/22,,0,1,,0,1,,0,1
1872/11/23,,0,1,,0,1,,0,1
1872/11/24,,0,1,,0,1,,0,1
1872/11/25,,0,1,,0,1,,0,1
1872/11/26,,0,1,,0,1,,0,1
1872/11/27,,0,1,,0,1,,0,1
1872/11/28,,0,1,,0,1,,0,1
1872/11/29,,0,1,,0,1,,0,1
1872/11/30,,0,1,,0,1,,0,1
1872/12/1,,0,1,,0,1,,0,1
1872/12/2,,0,1,,0,1,,0,1
1872/12/3,,0,1,,0,1,,0,1
1872/12/4,,0,1,,0,1,,0,1
1872/12/5,,0,1,,0,1,,0,1
1872/12/6,,0,1,,0,1,,0,1
1872/12/7,,0,1,,0,1,,0,1
1872/12/8,,0,1,,0,1,,0,1
1872/12/9,,0,1,,0,1,,0,1
1872/12/10,,0,1,,0,1,,0,1
1872/12/11,,0,1,,0,1,,0,1
1872/12/12,,0,1,,0,1,,0,1
1872/12/13,,0,1,,0,1,,0,1
1872/12/14,,0,1,,0,1,,0,1
1872/12/15,,0,1,,0,1,,0,1
1872/12/16,,0,1,,0,1,,0,1
1872/12/17,,0,1,,0,1,,0,1
1872/12/18,,0,1,,0,1,,0,1
1872/12/19,,0,1,,0,1,,0,1
1872/12/20,,0,1,,0,1,,0,1
1872/12/21,,0,1,,0,1,,0,1
1872/12/22,,0,1,,0,1,,0,1
1872/12/23,,0,1,,0,1,,0,1
1872/12/24,,0,1,,0,1,,0,1
1872/12/25,,0,1,,0,1,,0,1
1872/12/26,,0,1,,0,1,,0,1
1872/12/27,,0,1,,0,1,,0,1
1872/12/28,,0,1,,0,1,,0,1
1872/12/29,,0,1,,0,1,,0,1
1872/12/30,,0,1,,0,1,,0,1
1872/12/31,,0,1,,0,1,,0,1
1873/1/1,,0,1,,0,1,,0,1
1873/1/2,,0,1,,0,1,,0,1
1873/1/3,,0,1,,0,1,,0,1
1873/1/4,,0,1,,0,1,,0,1
1873/1/5,,0,1,,0,1,,0,1
1873/1/6,,0,1,,0,1,,0,1
1873/1/7,,0,1,,0,1,,0,1
1873/1/8,,0,1,,0,1,,0,1
1873/1/9,,0,1,,0,1,,0,1
1873/1/10,,0,1,,0,1,,0,1
1873/1/11,,0,1,,0,1,,0,1
1873/1/12,,0,1,,0,1,,0,1
1873/1/13,,0,1,,0,1,,0,1
1873/1/14,,0,1,,0,1,,0,1
1873/1/15,,0,1,,0,1,,0,1
1873/1/16,,0,1,,0,1,,0,1
1873/1/17,,0,1,,0,1,,0,1
1873/1/18,,0,1,,0,1,,0,1
1873/1/19,,0,1,,0,1,,0,1
1873/1/20,,0,1,,0,1,,0,1
1873/1/21,,0,1,,0,1,,0,1
1873/1/22,,0,1,,0,1,,0,1
1873/1/23,,0,1,,0,1,,0,1
1873/1/24,,0,1,,0,1,,0,1
1873/1/25,,0,1,,0,1,,0,1
1873/1/26,,0,1,,0,1,,0,1
1873/1/27,,0,1,,0,1,,0,1
1873/1/28,,0,1,,0,1,,0,1
1873/1/29,,0,1,,0,1,,0,1
1873/1/30,,0,1,,0,1,,0,1
1873/1/31,,0,1,,0,1,,0,1
1873/2/1,,0,1,,0,1,,0,1
1873/2/2,,0,1,,0,1,,0,1
1873/2/3,,0,1,,0,1,,0,1
1873/2/4,,0,1,,0,1,,0,1
1873/2/5,,0,1,,0,1,,0,1
1873/2/6,,0,1,,0,1,,0,1
1873/2/7,,0,1,,0,1,,0,1
1873/2/8,,0,1,,0,1,,0,1
1873/2/9,,0,1,,0,1,,0,1
1873/2/10,,0,1,,0,1,,0,1
1873/2/11,,0,1,,0,1,,0,1
1873/2/12,,0,1,,0,1,,0,1
1873/2/13,,0,1,,0,1,,0,1
1873/2/14,,0,1,,0,1,,0,1
1873/2/15,,0,1,,0,1,,0,1
1873/2/16,,0,1,,0,1,,0,1
1873/2/17,,0,1,,0,1,,0,1
1873/2/18,,0,1,,0,1,,0,1
1873/2/19,,0,1,,0,1,,0,1
1873/2/20,,0,1,,0,1,,0,1
1873/2/21,,0,1,,0,1,,0,1
1873/2/22,,0,1,,0,1,,0,1
1873/2/23,,0,1,,0,1,,0,1
1873/2/24,,0,1,,0,1,,0,1
1873/2/25,,0,1,,0,1,,0,1
1873/2/26,,0,1,,0,1,,0,1
1873/2/27,,0,1,,0,1,,0,1
1873/2/28,,0,1,,0,1,,0,1
1873/3/1,,0,1,,0,1,,0,1
1873/3/2,,0,1,,0,1,,0,1
1873/3/3,,0,1,,0,1,,0,1
1873/3/4,,0,1,,0,1,,0,1
1873/3/5,,0,1,,0,1,,0,1
1873/3/6,,0,1,,0,1,,0,1
